lat,lon,coordinates_id
32.575187,-117.105374,1
32.577165,-117.106041,2
32.583436,-117.10969,3
32.584957,-117.11833,4
32.583732,-117.1161,5
32.584183,-117.114592,6
32.584401,-117.108462,7
32.554573,-117.051499,8
32.558494,-117.059428,9
32.583483,-117.100295,10
32.583468,-117.106039,11
32.583485,-117.099763,12
32.557521,-117.058291,13
32.545389,-117.038186,14
32.576988,-117.094246,16
32.542833,-117.037142,17
32.560974,-117.062836,18
32.545016,-117.038725,19
32.545767,-117.03984,20
32.583536,-117.106531,21
32.544065,-117.040566,22
32.544325,-117.029098,23
32.547783,-117.034839,24
32.550623,-117.038356,25
32.575596,-117.069293,26
33.344789,-118.326899,27
32.583487,-117.084474,28
33.343576,-118.325138,29
32.553095,-117.046011,30
32.550332,-117.044467,31
32.585,-117.09177,32
32.576768,-117.081297,34
32.575033,-117.06822,35
32.583458,-117.062483,36
32.609129,-117.081344,37
32.701518,-117.205498,38
32.584141,-117.039713,39
32.60328,-117.077784,40
32.60283,-117.077243,41
32.579028,-117.035211,42
32.60992,-117.081681,43
32.602797,-117.065162,44
32.603756,-117.078424,45
32.584308,-117.038368,46
32.602808,-117.078066,47
32.603689,-117.079304,48
32.70099,-117.20864,49
32.602143,-117.064028,50
32.581404,-117.035528,51
32.613275,-117.069492,52
32.675937,-117.160961,53
32.727928,-117.226751,54
32.606589,-117.065874,55
32.630349,-117.086134,56
32.59422,-117.039099,57
32.623622,-117.073351,58
32.67593,-117.160933,59
32.630111,-117.093684,60
32.640442,-117.098586,61
32.631388,-117.089378,63
32.617305,-117.070914,64
32.626948,-117.087466,65
32.582296,-117.033129,66
32.627952,-117.08794,67
32.674166,-117.1624,68
32.616665,-117.070615,69
32.582713,-117.032891,70
32.724304,-117.229917,71
32.721411,-117.230132,72
32.639996,-117.097143,73
32.631175,-117.090079,74
32.607345,-117.06567,75
32.629906,-117.092237,76
32.74145,-117.250087,77
32.685918,-117.179439,78
32.701829,-117.19142,79
32.630244,-117.093307,80
32.607978,-117.066383,81
32.594343,-117.035027,82
32.701757,-117.183737,83
32.740499,-117.229039,84
32.605977,-117.039231,85
32.73094,-117.224228,86
32.749792,-117.242441,87
32.698978,-117.170152,88
32.65127,-117.093818,89
32.728096,-117.217674,90
32.749827,-117.243476,91
32.701873,-117.184139,92
32.645247,-117.09542,93
32.640922,-117.093519,94
32.697682,-117.170405,95
32.730692,-117.224458,96
32.64056,-117.094336,174
32.55354,-116.94184,178
32.636071,-117.077569,181
32.64518,-117.095165,182
32.63957,-117.074713,184
32.615576,-117.026349,187
32.555605,-116.936986,188
32.629035,-117.045774,189
32.614711,-117.025482,190
32.62911,-117.046157,191
32.555835,-116.938165,262
32.569317,-116.952468,266
32.659643,-117.106679,285
32.651018,-117.087673,373
32.628956,-117.03763,375
32.640886,-117.050809,379
32.640129,-117.049294,380
32.660721,-117.104904,381
32.648144,-117.063818,383
32.620365,-116.961322,561
32.623276,-116.967591,562
32.636225,-117.023673,565
32.63629,-117.021204,567
32.636511,-117.028762,568
32.629814,-116.96672,573
32.62921,-116.967158,666
32.641943,-116.992599,767
32.489002,-114.782744,769
32.488063,-114.782723,770
32.50543,-114.786266,771
32.628604,-116.47276,805
32.664951,-115.505671,843
